Year,Month,New York Times,Washington Post
1999,1,8,3
1999,2,8,3
1999,3,7,12
1999,4,22,24
1999,5,53,39
1999,6,43,54
1999,7,18,21
1999,8,19,15
1999,9,11,11
1999,10,12,19
1999,11,7,14
1999,12,8,11
2000,1,7,10
2000,2,9,7
2000,3,36,58
2000,4,11,17
2000,5,33,41
2000,6,11,8
2000,7,8,4
2000,8,5,9
2000,9,5,7
2000,10,7,4
2000,11,6,5
2000,12,4,4
2001,1,5,5
2001,2,3,8
2001,3,4,14
2001,4,1,8
2001,5,4,8
2001,6,3,5
2001,7,3,13
2001,8,5,1
2001,9,1,1
2001,10,3,6
2001,11,3,4
2001,12,1,5
2002,1,5,1
2002,2,3,5
2002,3,1,4
2002,4,6,2
2002,5,10,9
2002,6,2,7
2002,7,4,4
2002,8,2,3
2002,9,3,4
2002,10,16,24
2002,11,3,4
2002,12,2,3
2003,1,5,6
2003,2,2,4
2003,3,2,1
2003,4,7,5
2003,5,8,4
2003,6,2,1
2003,7,2,6
2003,8,5,1
2003,9,4,3
2003,10,6,3
2003,11,5,4
2003,12,6,4
2004,1,8,2
2004,2,6,9
2004,3,7,5
2004,4,3,2
2004,5,2,1
2004,6,3,0
2004,7,8,8
2004,8,2,2
2004,9,9,22
2004,10,2,7
2004,11,3,1
2004,12,4,0
2005,1,2,3
2005,2,4,0
2005,3,3,1
2005,4,5,5
2005,5,1,3
2005,6,0,5
2005,7,3,4
2005,8,2,2
2005,9,0,0
2005,10,4,5
2005,11,3,4
2005,12,4,3
2006,1,2,5
2006,2,1,0
2006,3,2,2
2006,4,4,4
2006,5,3,3
2006,6,3,1
2006,7,1,3
2006,8,3,3
2006,9,3,2
2006,10,5,4
2006,11,1,1
2006,12,1,0
2007,1,6,3
2007,2,0,2
2007,3,8,16
2007,4,18,18
2007,5,11,15
2007,6,4,6
2007,7,6,5
2007,8,5,2
2007,9,6,4
2007,10,4,3
2007,11,9,10
2007,12,4,7
2008,1,6,17
2008,2,4,9
2008,3,5,21
2008,4,3,4
2008,5,5,2
2008,6,13,31
2008,7,11,23
2008,8,3,5
2008,9,5,26
2008,10,6,7
2008,11,3,4
2008,12,9,9
2009,1,6,5
2009,2,13,12
2009,3,11,24
2009,4,14,20
2009,5,9,7
2009,6,13,13
2009,7,7,13
2009,8,6,11
2009,9,3,7
2009,10,8,8
2009,11,3,3
2009,12,6,9
2010,1,14,17
2010,2,3,9
2010,3,13,15
2010,4,5,24
2010,5,5,8
2010,6,9,12
2010,7,5,7
2010,8,5,6
2010,9,4,1
2010,10,10,11
2010,11,5,7
2010,12,8,14
2011,1,39,37
2011,2,5,11
2011,3,4,8
2011,4,10,16
2011,5,4,3
2011,6,5,9
2011,7,9,7
2011,8,4,7
2011,9,5,3
2011,10,7,7
2011,11,8,9
2011,12,4,4
2012,1,4,7
2012,2,5,10
2012,3,9,14
2012,4,13,10
2012,5,4,5
2012,6,8,5
2012,7,21,28
2012,8,14,14
2012,9,9,2
2012,10,17,14
2012,11,7,16
2012,12,72,466
2013,1,104,1091
2013,2,61,1098
2013,3,58,430
2013,4,70,416
2013,5,29,172
2013,6,18,87
2013,7,14,75
2013,8,7,54
2013,9,22,85
2013,10,15,44
2013,11,11,28
2013,12,11,44
2014,1,19,51
2014,2,8,58
2014,3,12,32
2014,4,12,34
2014,5,15,84
2014,6,9,47
2014,7,7,77
2014,8,13,74
2014,9,9,46
2014,10,18,62
2014,11,7,25
2014,12,8,30
2015,1,10,38
2015,2,10,22
2015,3,6,19
2015,4,9,19
2015,5,3,17
2015,6,8,56
2015,7,12,28
2015,8,17,39
2015,9,6,23
2015,10,50,153
2015,11,10,56
2015,12,46,102
2016,1,41,100
2016,2,15,92
2016,3,13,63
2016,4,13,47
2016,5,12,24
2016,6,53,26
2016,7,30,15
2016,8,14,6
2016,9,9,33
2016,10,14,21
2016,11,12,10
2016,12,7,12
2017,1,11,20
2017,2,20,18
2017,3,10,17
2017,4,14,22
2017,5,8,10
2017,6,19,32
2017,7,11,15
2017,8,9,15
2017,9,10,13
2017,10,54,60
2017,11,31,46
2017,12,20,25